coach,year,team,position,squad
Rick Stockstill,2003,East Carolina,OC,2003 East Carolina
P. J. Fleck,2003,Northern Illinois,player,2003 Northern Illinois
Mike Leach,2003,Texas Tech,HC,2003 Texas Tech
Ken Niumatalolo,2003,Navy,OL,2003 Navy
Scott Frost,2003,Buccaneers,player,2003 Buccaneers
Jay Norvell,2003,Raiders,TE,2003 Raiders
Doug Martin,2003,Kent State,OC,2003 Kent State
Mack Brown,2003,Texas,HC,2003 Texas
Dave Doeren,2003,Kansas,LB,2003 Kansas
Seth Littrell,2003,Kansas,GA,2003 Kansas
Thomas Hammock,2003,Wisconsin,GA,2003 Wisconsin
Pat Fitzgerald,2003,Northwestern,LB,2003 Northwestern
Brian Kelly,2003,Grand Valley State,HC,2003 Grand Valley State
Frank Solich,2003,Nebraska,HC,2003 Nebraska
Ryan Day,2003,Boston College,GA ,2003 Boston College
Lincoln Riley,2003,Texas Tech,Asst,2003 Texas Tech
Mike Gundy,2003,Oklahoma State,OC,2003 Oklahoma State
Lane Kiffin,2003,USC,WR,2003 USC
Mario Cristobal,2003,Rutgers,OL,2003 Rutgers
Jonathan Smith,2003,Oregon State,GA,2003 Oregon State
James Franklin,2003,Maryland,WR,2003 Maryland
Pat Narduzzi,2003,Miami OH,DC,2003 Miami OH
Jeff Brohm,2003,Louisville,QB,2003 Louisville
Mike Bloomgren,2003,Catawba,co-OC,2003 Catawba
Greg Schiano,2003,Rutgers,HC,2003 Rutgers
Brady Hoke,2003,Ball State,HC,2003 Ball State
Brent Brennan,2003,Cal Poly,WR,2003 Cal Poly
Sonny Dykes,2003,Texas Tech,WR,2003 Texas Tech
Steve Campbell,2003,Mississippi State,OL,2003 Mississippi State
Will Muschamp,2003,LSU,DC,2003 LSU
Jay Hopson,2003,Southern Miss,DB,2003 Southern Miss
David Shaw,2003,Ravens,WR,2003 Ravens
Dino Babers,2003,Pitt,RB,2003 Pitt
Gary Patterson,2003,TCU,HC,2003 TCU
Rod Carey,2003,Wisconsin Stout,co-OC,2003 Wisconsin Stout
Jeremy Pruitt,2003,Fort Payne (AL) HS,Asst,2003 Fort Payne (AL) HS
Tom Herman,2003,Sam Houston State,WR,2003 Sam Houston State
Jimbo Fisher,2003,LSU,OC,2003 LSU
Matt Wells,2003,Tulsa,TE,2003 Tulsa
Jason Candle,2003,Mount Union,WR,2003 Mount Union
Willie Fritz,2003,Central Missouri,HC,2003 Central Missouri
Philip Montgomery,2003,Houston,QB,2003 Houston
Bill Clark,2003,Prattville HS (AL),HC,2003 Prattville HS (AL)
Chip Kelly,2003,New Hampshire,OC,2003 New Hampshire
Marcus Arroyo,2003,San Jose State,Asst,2003 San Jose State
Clay Helton,2003,Memphis,WR,2003 Memphis
Kyle Whittingham,2003,Utah,DC,2003 Utah
Gary Andersen,2003,Southern Utah,HC,2003 Southern Utah
Jeff Traylor,2003,Gilmer HS (TX),HC,2003 Gilmer HS (TX)
Derek Mason,2003,St Mary's,co-DC,2003 St Mary's
Bronco Mendenhall,2003,BYU,DC,2003 BYU
Justin Fuente,2003,Illinois State,QB,2003 Illinois State
Dave Clawson,2003,Fordham,HC,2003 Fordham
Jimmy Lake,2003,Eastern Washington,DB,2003 Eastern Washington
Nick Rolovich,2003,Hawaii,staff,2003 Hawaii
Neal Brown,2003,Massachusetts,TE,2003 Massachusetts
Tyson Helton,2003,Hawaii,TE,2003 Hawaii
Tim Lester,2003,Elmhurst,OC,2003 Elmhurst
Paul Chryst,2003,Oregon State,OC,2003 Oregon State
Craig Bohl,2003,North Dakota State,HC,2003 North Dakota State
Barry Odom,2003,Missouri,GA,2003 Missouri
Bo Pelini,2003,Nebraska,DC,2003 Nebraska
Bob Stoops,2003,Oklahoma,HC,2003 Oklahoma
Bobby Petrino,2003,Louisville,HC,2003 Louisville
Bobby Wilder,2003,Maine,OC,2003 Maine
Charlie Strong,2003,Florida,DC,2003 Florida
Chris Ash,2003,Iowa State,DB,2003 Iowa State
Chris Petersen,2003,Boise State,OC,2003 Boise State
Frank Wilson,2003,OP Walker HS (LA),HC,2003 OP Walker HS (LA)
Jeff Tedford,2003,California,HC,2003 California
Joe Moorhead,2003,Georgetown,OC,2003 Georgetown
Matt Luke,2003,Ole Miss,OL,2003 Ole Miss
Matt Rhule,2003,Western Carolina,LB,2003 Western Carolina
Mike Bobo,2003,Georgia,QB,2003 Georgia
Rocky Long,2003,New Mexico,HC,2003 New Mexico
Tony Sanchez,2003,Las Cruces Onate HS (NM),DC,2003 Las Cruces Onate HS (NM)
Urban Meyer,2003,Utah,HC,2003 Utah
Mark Dantonio,2003,Ohio State,DC,2003 Ohio State
Troy Calhoun,2002,Wake Forest,OC,2002 Wake Forest
Tom Arth,2002,John Carroll,player,2002 John Carroll
Nick Saban,2002,LSU,HC,2002 LSU
Shawn Clark,2002,Louisville,GA,2002 Louisville
Kevin Sumlin,2002,Texas A&M,OC,2002 Texas A&M
Herm Edwards,2002,Jets,HC,2002 Jets
Blake Anderson,2002,Middle Tennessee,co-OC,2002 Middle Tennessee
Jeff Monken,2002,Navy,RB,2002 Navy
Gus Malzahn,2002,Springdale HS (AR),HC,2002 Springdale HS (AR)
Mike Neu,2002,Carolina Cobras,HC,2002 Carolina Cobras
Dave Aranda,2002,Houston,LB,2002 Houston
Bryan Harsin,2002,Boise State,TE,2002 Boise State
Jeff Hafley ,2002,Albany,Asst,2002 Albany
Scot Loeffler,2002,Michigan,QB,2002 Michigan
Lance Leipold,2002,Nebraska,Asst,2002 Nebraska
Kalani Sitake,2002,BYU,GA,2002 BYU
Justin Wilcox,2002,Boise State,GA,2002 Boise State
Josh Heupel,2002,Packers,player,2002 Packers
Jim McElwain,2002,Louisville,WR,2002 Louisville
Luke Fickell,2002,Ohio State,ST,2002 Ohio State
Steve Addazio,2002,Indiana,OL,2002 Indiana
Randy Edsall,2002,Connecticut,HC,2002 Connecticut
David Cutcliffe,2002,Ole Miss,HC,2002 Ole Miss
Mike Houston,2002,T. C. Roberson HS (NC),HC,2002 T. C. Roberson HS (NC)
Chris Creighton,2002,Wabash,HC,2002 Wabash
Dan Mullen,2002,Bowling Green,QB,2002 Bowling Green
Willie Taggart,2002,Western Kentucky,co-OC,2002 Western Kentucky
Butch Davis,2002,Browns,HC,2002 Browns
Mike Norvell,2002,Central Arkansas,player,2002 Central Arkansas
Kalen DeBoer,2002,Sioux Falls,OC,2002 Sioux Falls
Kirby Smart,2002,Florida State,GA,2002 Florida State
Chad Lunsford,2002,Appalachian State,TE,2002 Appalachian State
Shawn Elliott,2002,Appalachian State,OL,2002 Appalachian State
Geoff Collins,2002,Western Carolina,DC,2002 Western Carolina
Dana Holgorsen,2002,Texas Tech,IWR,2002 Texas Tech
Lovie Smith,2002,Rams,DC,2002 Rams
Tom Allen,2002,Ben Davis HS (IN),DC,2002 Ben Davis HS (IN)
Kirk Ferentz,2002,Iowa,HC,2002 Iowa
Matt Campbell,2002,Mount Union,player,2002 Mount Union
Les Miles,2002,Oklahoma State,HC,2002 Oklahoma State
Chris Klieman,2002,Loras,DC,2002 Loras
Mark Stoops,2002,Miami FL,DB,2002 Miami FL
Hugh Freeze,2002,Briarcrest HS (TN),HC,2002 Briarcrest HS (TN)
Skip Holtz,2002,South Carolina,OC,2002 South Carolina
Billy Napier,2002,Furman,player,2002 Furman
Matt Viator,2002,McNeese State,OC,2002 McNeese State
Scott Satterfield,2002,Appalachian State,RB,2002 Appalachian State
Ed Orgeron,2002,USC,DL,2002 USC
Doc Holliday,2002,North Carolina State,WR,2002 North Carolina State
Mike Locksley,2002,Maryland,RB,2002 Maryland
Walt Bell,2002,Middle Tennessee,player,2002 Middle Tennessee
Manny Diaz,2002,North Carolina State,LB,2002 North Carolina State
Chuck Martin,2002,Grand Valley State,DB,2002 Grand Valley State
Jim Harbaugh,2002,Raiders,QB,2002 Raiders
Mel Tucker,2002,Ohio State,DB,2002 Ohio State
Rick Stockstill,2002,Clemson,WR,2002 Clemson
P. J. Fleck,2002,Northern Illinois,player,2002 Northern Illinois
Mike Leach,2002,Texas Tech,HC,2002 Texas Tech
Ken Niumatalolo,2002,Navy,OL,2002 Navy
Scott Frost,2002,Nebraska,GA,2002 Nebraska
Jay Norvell,2002,Raiders,TE,2002 Raiders
Danny Gonzales,2002,New Mexico,GA,2002 New Mexico
Doug Martin,2002,East Carolina,OC,2002 East Carolina
Mack Brown,2002,Texas,HC,2002 Texas
Dave Doeren,2002,Kansas,LB,2002 Kansas
Seth Littrell,2002,Kansas,GA,2002 Kansas
Pat Fitzgerald,2002,Northwestern,LB,2002 Northwestern
Brian Kelly,2002,Grand Valley State,HC,2002 Grand Valley State
Frank Solich,2002,Nebraska,HC,2002 Nebraska
Ryan Day,2002,New Hampshire,TE,2002 New Hampshire
Lincoln Riley,2002,Texas Tech,player,2002 Texas Tech
Mike Gundy,2002,Oklahoma State,OC,2002 Oklahoma State
Lane Kiffin,2002,USC,WR,2002 USC
Mario Cristobal,2002,Rutgers,TE,2002 Rutgers
Jonathan Smith,2002,Oregon State,GA,2002 Oregon State
James Franklin,2002,Maryland,WR,2002 Maryland
Pat Narduzzi,2002,Northern Illinois,LB,2002 Northern Illinois
Jeff Brohm,2002,Louisville Fire,HC,2002 Louisville Fire
Mike Bloomgren,2002,Catawba,co-OC,2002 Catawba
Greg Schiano,2002,Rutgers,HC,2002 Rutgers
Brady Hoke,2002,Michigan,AHC,2002 Michigan
Brent Brennan,2002,Cal Poly,WR,2002 Cal Poly
Sonny Dykes,2002,Texas Tech,WR,2002 Texas Tech
Steve Campbell,2002,Middle Tennessee,OC,2002 Middle Tennessee
Will Muschamp,2002,LSU,DC,2002 LSU
Jeff Scott,2002,Clemson,player,2002 Clemson
Jay Hopson,2002,Southern Miss,DB,2002 Southern Miss
David Shaw,2002,Ravens,WR,2002 Ravens
Dino Babers,2002,Texas A&M,QB,2002 Texas A&M
Gary Patterson,2002,TCU,HC,2002 TCU
Rod Carey,2002,Wisconsin Stout,co-OC,2002 Wisconsin Stout
Jeremy Pruitt,2002,Fort Payne (AL) HS,Asst,2002 Fort Payne (AL) HS
Tom Herman,2002,Sam Houston State,WR,2002 Sam Houston State
Jimbo Fisher,2002,LSU,OC,2002 LSU
Matt Wells,2002,Tulsa,TE,2002 Tulsa
Willie Fritz,2002,Central Missouri,HC,2002 Central Missouri
Philip Montgomery,2002,Denton HS (TX),OC,2002 Denton HS (TX)
Bill Clark,2002,Prattville HS (AL),HC,2002 Prattville HS (AL)
Chip Kelly,2002,New Hampshire,OC,2002 New Hampshire
Marcus Arroyo,2002,San Jose State,player,2002 San Jose State
Clay Helton,2002,Memphis,RB,2002 Memphis
Kyle Whittingham,2002,Utah,DC,2002 Utah
Gary Andersen,2002,Utah,DT,2002 Utah
Dana Dimel,2002,Houston,HC,2002 Houston
Jeff Traylor,2002,Gilmer HS (TX),HC,2002 Gilmer HS (TX)
Derek Mason,2002,Utah,WR,2002 Utah
Bronco Mendenhall,2002,New Mexico,DC,2002 New Mexico
Justin Fuente,2002,Illinois State,QB,2002 Illinois State
Dave Clawson,2002,Fordham,HC,2002 Fordham
Jimmy Lake,2002,Eastern Washington,DB,2002 Eastern Washington
Nick Rolovich,2002,Broncos,player,2002 Broncos
Neal Brown,2002,Massachusetts,player,2002 Massachusetts
Tyson Helton,2002,Hawaii,TE,2002 Hawaii
Tim Lester,2002,Elmhurst,OC,2002 Elmhurst
Paul Chryst,2002,Wisconsin,TE,2002 Wisconsin
Craig Bohl,2002,Nebraska,DC,2002 Nebraska
Barry Odom,2002,Rock Bridge HS (MO),HC,2002 Rock Bridge HS (MO)
Bo Pelini,2002,Packers,LB,2002 Packers
Bob Stoops,2002,Oklahoma,HC,2002 Oklahoma
Bobby Petrino,2002,Auburn,OC,2002 Auburn
Bobby Wilder,2002,Maine,OC,2002 Maine
Chad Morris,2002,Bay City HS (TX),HC,2002 Bay City HS (TX)
Charlie Strong,2002,South Carolina,DC,2002 South Carolina
Chris Ash,2002,Iowa State,DB,2002 Iowa State
Chris Petersen,2002,Boise State,OC,2002 Boise State
Frank Wilson,2002,OP Walker HS (LA),HC,2002 OP Walker HS (LA)
Jeff Tedford,2002,California,HC,2002 California
Joe Moorhead,2002,Georgetown,QB,2002 Georgetown
Matt Luke,2002,Ole Miss,OL,2002 Ole Miss
Matt Rhule,2002,Western Carolina,LB,2002 Western Carolina
Mike Bobo,2002,Georgia,QB,2002 Georgia
Rocky Long,2002,New Mexico,HC,2002 New Mexico
Tony Sanchez,2002,Las Cruces Onate HS (NM),DB,2002 Las Cruces Onate HS (NM)
Urban Meyer,2002,Bowling Green,HC,2002 Bowling Green
Mark Dantonio,2002,Ohio State,DC,2002 Ohio State
Troy Calhoun,2001,Wake Forest,OC,2001 Wake Forest
Tom Arth,2001,John Carroll,player,2001 John Carroll
Nick Saban,2001,LSU,HC,2001 LSU
Shawn Clark,2001,Louisville,GA,2001 Louisville
Kevin Sumlin,2001,Texas A&M,WR,2001 Texas A&M
Herm Edwards,2001,Jets,HC,2001 Jets
Sam Pittman,2001,Kansas,OL,2001 Kansas
Blake Anderson,2001,New Mexico,WR,2001 New Mexico
Jeff Monken,2001,Georgia Southern,RB,2001 Georgia Southern
Gus Malzahn,2001,Springdale HS (AR),HC,2001 Springdale HS (AR)
Mike Neu,2001,Carolina Cobras,OC,2001 Carolina Cobras
Dave Aranda,2001,Texas Tech,GA,2001 Texas Tech
Bryan Harsin,2001,Boise State,GA,2001 Boise State
Jeff Hafley ,2001,WPI,RB,2001 WPI
Scot Loeffler,2001,Central Michigan,QB,2001 Central Michigan
Lance Leipold,2001,Nebraska,Asst,2001 Nebraska
Kalani Sitake,2001,Eastern Arizona,DB,2001 Eastern Arizona
Justin Wilcox,2001,Boise State,GA,2001 Boise State
Josh Heupel,2001,Dolphins,player,2001 Dolphins
Jim McElwain,2001,Louisville,WR,2001 Louisville
Luke Fickell,2001,Akron,DL,2001 Akron
Steve Addazio,2001,Notre Dame,TE,2001 Notre Dame
Randy Edsall,2001,Connecticut,HC,2001 Connecticut
David Cutcliffe,2001,Ole Miss,HC,2001 Ole Miss
Mike Houston,2001,T. C. Roberson HS (NC),HC,2001 T. C. Roberson HS (NC)
Chris Creighton,2001,Wabash,HC,2001 Wabash
Dan Mullen,2001,Bowling Green,QB,2001 Bowling Green
Willie Taggart,2001,Western Kentucky,co-OC,2001 Western Kentucky
Butch Davis,2001,Browns,HC,2001 Browns
Mike Norvell,2001,Central Arkansas,player,2001 Central Arkansas
Kalen DeBoer,2001,Sioux Falls,OC,2001 Sioux Falls
Kirby Smart,2001,Valdosta State,DC,2001 Valdosta State
Chad Lunsford,2001,Appalachian State,TE,2001 Appalachian State
Shawn Elliott,2001,Appalachian State,OL,2001 Appalachian State
Geoff Collins,2001,Georgia Tech,GA,2001 Georgia Tech
Dana Holgorsen,2001,Texas Tech,IWR,2001 Texas Tech
Lovie Smith,2001,Rams,DC,2001 Rams
Tom Allen,2001,Ben Davis HS (IN),DC,2001 Ben Davis HS (IN)
Kirk Ferentz,2001,Iowa,HC,2001 Iowa
Matt Campbell,2001,Mount Union,player,2001 Mount Union
Les Miles,2001,Oklahoma State,HC,2001 Oklahoma State
Mark Stoops,2001,Miami FL,DB,2001 Miami FL
Hugh Freeze,2001,Briarcrest HS (TN),HC,2001 Briarcrest HS (TN)
Skip Holtz,2001,South Carolina,OC,2001 South Carolina
Billy Napier,2001,Furman,player,2001 Furman
Matt Viator,2001,McNeese State,OC,2001 McNeese State
Scott Satterfield,2001,Appalachian State,RB,2001 Appalachian State
Ed Orgeron,2001,USC,DL,2001 USC
Doc Holliday,2001,North Carolina State,WR,2001 North Carolina State
Mike Locksley,2001,Maryland,RB,2001 Maryland
Manny Diaz,2001,North Carolina State,GA,2001 North Carolina State
Chuck Martin,2001,Grand Valley State,DB,2001 Grand Valley State
Jim Harbaugh,2001,Panthers,player,2001 Panthers
Mel Tucker,2001,Ohio State,DB,2001 Ohio State
Rick Stockstill,2001,Clemson,WR,2001 Clemson
P. J. Fleck,2001,Northern Illinois,player,2001 Northern Illinois
Mike Leach,2001,Texas Tech,HC,2001 Texas Tech
Ken Niumatalolo,2001,UNLV,TE,2001 UNLV
Scott Frost,2001,Packers,player,2001 Packers
Jay Norvell,2001,Colts,WR,2001 Colts
Danny Gonzales,2001,New Mexico,GA,2001 New Mexico
Doug Martin,2001,East Carolina,OC,2001 East Carolina
Mack Brown,2001,Texas,HC,2001 Texas
Dave Doeren,2001,Montana,DB,2001 Montana
Seth Littrell,2001,Oklahoma,player,2001 Oklahoma
Pat Fitzgerald,2001,Northwestern,DB,2001 Northwestern
Brian Kelly,2001,Grand Valley State,HC,2001 Grand Valley State
Frank Solich,2001,Nebraska,HC,2001 Nebraska
Ryan Day,2001,New Hampshire,player,2001 New Hampshire
Mike Gundy,2001,Oklahoma State,OC,2001 Oklahoma State
Ricky Rahne,2001,Cornell,player,2001 Cornell
Lane Kiffin,2001,USC,TE,2001 USC
Mario Cristobal,2001,Rutgers,TE,2001 Rutgers
Jonathan Smith,2001,Oregon State,player,2001 Oregon State
James Franklin,2001,Maryland,WR,2001 Maryland
Pat Narduzzi,2001,Northern Illinois,LB,2001 Northern Illinois
Jeff Brohm,2001,Orlando Rage,player,2001 Orlando Rage
Mike Bloomgren,2001,Alabama,GA,2001 Alabama
Greg Schiano,2001,Rutgers,HC,2001 Rutgers
Brady Hoke,2001,Michigan,DL,2001 Michigan
Brent Brennan,2001,Cal Poly,WR,2001 Cal Poly
Sonny Dykes,2001,Texas Tech,WR,2001 Texas Tech
Steve Campbell,2001,Delta State,HC,2001 Delta State
Will Muschamp,2001,LSU,DB,2001 LSU
Jeff Scott,2001,Clemson,player,2001 Clemson
Jay Hopson,2001,Southern Miss,DB,2001 Southern Miss
David Shaw,2001,Raiders,QB,2001 Raiders
Dino Babers,2001,Texas A&M,QB,2001 Texas A&M
Gary Patterson,2001,TCU,HC,2001 TCU
Rod Carey,2001,Wisconsin Stout,co-OC,2001 Wisconsin Stout
Jeremy Pruitt,2001,Fort Payne (AL) HS,Asst,2001 Fort Payne (AL) HS
Tom Herman,2001,Sam Houston State,WR,2001 Sam Houston State
Jimbo Fisher,2001,LSU,OC,2001 LSU
Matt Wells,2001,Navy,QB,2001 Navy
Jason Candle,2001,Mount Union,player,2001 Mount Union
Willie Fritz,2001,Central Missouri,HC,2001 Central Missouri
Philip Montgomery,2001,Stephenville HS (TX),QB,2001 Stephenville HS (TX)
Bill Clark,2001,Prattville HS (AL),HC,2001 Prattville HS (AL)
Chip Kelly,2001,New Hampshire,OC,2001 New Hampshire
Marcus Arroyo,2001,San Jose State,player,2001 San Jose State
Clay Helton,2001,Memphis,RB,2001 Memphis
Kyle Whittingham,2001,Utah,DC,2001 Utah
Gary Andersen,2001,Utah,DT,2001 Utah
Dana Dimel,2001,Houston,HC,2001 Houston
Jeff Traylor,2001,Gilmer HS (TX),HC,2001 Gilmer HS (TX)
Derek Mason,2001,Bucknell,DB,2001 Bucknell
Bronco Mendenhall,2001,New Mexico,DC,2001 New Mexico
Justin Fuente,2001,Illinois State,QB,2001 Illinois State
Dave Clawson,2001,Fordham,HC,2001 Fordham
Jimmy Lake,2001,Eastern Washington,DB,2001 Eastern Washington
Nick Rolovich,2001,Hawaii,player,2001 Hawaii
Neal Brown,2001,Massachusetts,player,2001 Massachusetts
Tyson Helton,2001,Hawaii,TE,2001 Hawaii
Tim Lester,2001,St Benedict HS (IL),OC,2001 St Benedict HS (IL)
Paul Chryst,2001,Chargers,TE,2001 Chargers
Craig Bohl,2001,Nebraska,DC,2001 Nebraska
Barry Odom,2001,Rock Bridge HS (MO),HC,2001 Rock Bridge HS (MO)
Bo Pelini,2001,Packers,LB,2001 Packers
Bob Davie,2001,Notre Dame,HC,2001 Notre Dame
Bob Stoops,2001,Oklahoma,HC,2001 Oklahoma
Bobby Petrino,2001,Jaguars,OC,2001 Jaguars
Bobby Wilder,2001,Maine,OC,2001 Maine
Chad Morris,2001,Bay City HS (TX),HC,2001 Bay City HS (TX)
Charlie Strong,2001,South Carolina,DC,2001 South Carolina
Chris Ash,2001,Iowa State,GA,2001 Iowa State
Chris Petersen,2001,Boise State,OC,2001 Boise State
Frank Wilson,2001,OP Walker HS (LA),HC,2001 OP Walker HS (LA)
Jeff Tedford,2001,Oregon,OC,2001 Oregon
Joe Moorhead,2001,Georgetown,QB,2001 Georgetown
Matt Luke,2001,Murray State,OL,2001 Murray State
Matt Rhule,2001,UCLA,DL,2001 UCLA
Mike Bobo,2001,Georgia,QB,2001 Georgia
Rocky Long,2001,New Mexico,HC,2001 New Mexico
Tony Sanchez,2001,Las Cruces Onate HS (NM),DB,2001 Las Cruces Onate HS (NM)
Urban Meyer,2001,Bowling Green,HC,2001 Bowling Green
Mark Dantonio,2001,Ohio State,DC,2001 Ohio State
Troy Calhoun,2000,Ohio,OC,2000 Ohio
Tom Arth,2000,John Carroll,player,2000 John Carroll
Nick Saban,2000,LSU,HC,2000 LSU
Kevin Sumlin,2000,Purdue,WR,2000 Purdue
Herm Edwards,2000,Buccaneers,DB,2000 Buccaneers
Sam Pittman,2000,Missouri,OL,2000 Missouri
Blake Anderson,2000,New Mexico,RB,2000 New Mexico
Jeff Monken,2000,Georgia Southern,RB,2000 Georgia Southern
Gus Malzahn,2000,Shiloh Christian HS (AR),HC,2000 Shiloh Christian HS (AR)
Mike Neu,2000,Augusta Stallions,HC,2000 Augusta Stallions
Dave Aranda,2000,Texas Tech,GA,2000 Texas Tech
Bryan Harsin,2000,Eastern Oregon,RB,2000 Eastern Oregon
Jeff Hafley ,2000,Siena,player,2000 Siena
Scot Loeffler,2000,Central Michigan,QB,2000 Central Michigan
Lance Leipold,2000,Nebraska Omaha,Asst,2000 Nebraska Omaha
Kalani Sitake,2000,BYU,player,2000 BYU
Josh Heupel,2000,Oklahoma,player,2000 Oklahoma
Jim McElwain,2000,Louisville,WR,2000 Louisville
Luke Fickell,2000,Akron,DL,2000 Akron
Dabo Swinney,2000,Alabama,WR,2000 Alabama
Steve Addazio,2000,Notre Dame,TE,2000 Notre Dame
Randy Edsall,2000,Connecticut,HC,2000 Connecticut
David Cutcliffe,2000,Ole Miss,HC,2000 Ole Miss
Mike Houston,2000,T. C. Roberson HS (NC),DC,2000 T. C. Roberson HS (NC)
Chris Creighton,2000,Ottawa (KS),HC,2000 Ottawa (KS)
Dan Mullen,2000,Notre Dame,GA,2000 Notre Dame
Willie Taggart,2000,Western Kentucky,QB,2000 Western Kentucky
Butch Davis,2000,Miami FL,HC,2000 Miami FL
Kalen DeBoer,2000,Sioux Falls,OC,2000 Sioux Falls
Kirby Smart,2000,Valdosta State,DB,2000 Valdosta State
Shawn Elliott,2000,Appalachian State,TE,2000 Appalachian State
Geoff Collins,2000,Georgia Tech,GA,2000 Georgia Tech
Dana Holgorsen,2000,Texas Tech,IWR,2000 Texas Tech
Lovie Smith,2000,Buccaneers,LB,2000 Buccaneers
Tom Allen,2000,Ben Davis HS (IN),DC,2000 Ben Davis HS (IN)
Kirk Ferentz,2000,Iowa,HC,2000 Iowa
Matt Campbell,2000,Mount Union,player,2000 Mount Union
Les Miles,2000,Cowboys,TE,2000 Cowboys
Mark Stoops,2000,Houston,co-DC,2000 Houston
Hugh Freeze,2000,Briarcrest HS (TN),HC,2000 Briarcrest HS (TN)
Skip Holtz,2000,South Carolina,OC,2000 South Carolina
Billy Napier,2000,Furman,player,2000 Furman
Matt Viator,2000,McNeese State,OC,2000 McNeese State
Scott Satterfield,2000,Appalachian State,RB,2000 Appalachian State
Ed Orgeron,2000,USC,DL,2000 USC
Doc Holliday,2000,North Carolina State,WR,2000 North Carolina State
Mike Locksley,2000,Maryland,RB,2000 Maryland
Manny Diaz,2000,North Carolina State,GA,2000 North Carolina State
Chuck Martin,2000,Grand Valley State,DB,2000 Grand Valley State
Jim Harbaugh,2000,Chargers,player,2000 Chargers
Mel Tucker,2000,LSU,DB,2000 LSU
Rick Stockstill,2000,Clemson,WR,2000 Clemson
P. J. Fleck,2000,Northern Illinois,player,2000 Northern Illinois
Mike Leach,2000,Texas Tech,HC,2000 Texas Tech
Ken Niumatalolo,2000,UNLV,TE,2000 UNLV
Scott Frost,2000,Jets,player,2000 Jets
Jay Norvell,2000,Colts,WR,2000 Colts
Danny Gonzales,2000,New Mexico,GA,2000 New Mexico
Doug Martin,2000,East Carolina,OC,2000 East Carolina
Mack Brown,2000,Texas,HC,2000 Texas
Dave Doeren,2000,Montana,DB,2000 Montana
Seth Littrell,2000,Oklahoma,player,2000 Oklahoma
Pat Fitzgerald,2000,Idaho,LB,2000 Idaho
Brian Kelly,2000,Grand Valley State,HC,2000 Grand Valley State
Frank Solich,2000,Nebraska,HC,2000 Nebraska
Ryan Day,2000,New Hampshire,player,2000 New Hampshire
Mike Gundy,2000,Maryland,PGC,2000 Maryland
Ricky Rahne,2000,Cornell,player,2000 Cornell
Lane Kiffin,2000,Jaguars,staff,2000 Jaguars
Mario Cristobal,2000,Miami FL,GA,2000 Miami FL
Jonathan Smith,2000,Oregon State,player,2000 Oregon State
James Franklin,2000,Maryland,WR,2000 Maryland
Pat Narduzzi,2000,Northern Illinois,LB,2000 Northern Illinois
Jeff Brohm,2000,Browns,player,2000 Browns
Mike Bloomgren,2000,Alabama,GA,2000 Alabama
Greg Schiano,2000,Miami FL,DC,2000 Miami FL
Brady Hoke,2000,Michigan,DL,2000 Michigan
Brent Brennan,2000,Arizona,GA,2000 Arizona
Sonny Dykes,2000,Texas Tech,WR,2000 Texas Tech
Steve Campbell,2000,Delta State,HC,2000 Delta State
Will Muschamp,2000,Valdosta State,DC,2000 Valdosta State
Jay Hopson,2000,Marshall,DB,2000 Marshall
David Shaw,2000,Raiders,staff,2000 Raiders
Dino Babers,2000,Arizona,OC,2000 Arizona
Gary Patterson,2000,TCU,DC,2000 TCU
Rod Carey,2000,Wisconsin Stout,co-OC,2000 Wisconsin Stout
Jeremy Pruitt,2000,Plainview (AL) HS,DC,2000 Plainview (AL) HS
Tom Herman,2000,Texas,GA,2000 Texas
Jimbo Fisher,2000,LSU,OC,2000 LSU
Matt Wells,2000,Navy,QB,2000 Navy
Jason Candle,2000,Mount Union,player,2000 Mount Union
Willie Fritz,2000,Central Missouri,HC,2000 Central Missouri
Philip Montgomery,2000,Stephenville HS (TX),QB,2000 Stephenville HS (TX)
Bill Clark,2000,Prattville HS (AL),HC,2000 Prattville HS (AL)
Chip Kelly,2000,New Hampshire,OC,2000 New Hampshire
Marcus Arroyo,2000,San Jose State,player,2000 San Jose State
Clay Helton,2000,Memphis,RB,2000 Memphis
Kyle Whittingham,2000,Utah,DC,2000 Utah
Gary Andersen,2000,Utah,DT,2000 Utah
Dana Dimel,2000,Houston,HC,2000 Houston
Jeff Traylor,2000,Gilmer HS (TX),HC,2000 Gilmer HS (TX)
Derek Mason,2000,Bucknell,DB,2000 Bucknell
Bronco Mendenhall,2000,New Mexico,DC,2000 New Mexico
Justin Fuente,2000,Oklahoma Wranglers,player,2000 Oklahoma Wranglers
Dave Clawson,2000,Fordham,HC,2000 Fordham
Jimmy Lake,2000,Eastern Washington,DB,2000 Eastern Washington
Nick Rolovich,2000,Hawaii,player,2000 Hawaii
Neal Brown,2000,Kentucky,player,2000 Kentucky
Tyson Helton,2000,Hawaii,GA,2000 Hawaii
Tim Lester,2000,Wheaton Warrenville South HS (IL),OC,2000 Wheaton Warrenville South HS (IL)
Paul Chryst,2000,Chargers,TE,2000 Chargers
Craig Bohl,2000,Nebraska,DC,2000 Nebraska
Barry Odom,2000,Ada HS (OK),Asst,2000 Ada HS (OK)
Bo Pelini,2000,Packers,LB,2000 Packers
Bob Davie,2000,Notre Dame,HC,2000 Notre Dame
