coach,year,team,position,squad
Philip Montgomery,2019,Tulsa,HC,2019 Tulsa
Bill Clark,2019,UAB,HC,2019 UAB
Chip Kelly,2019,UCLA,HC,2019 UCLA
Marcus Arroyo,2019,Oregon,OC,2019 Oregon
Clay Helton,2019,USC,HC,2019 USC
Kyle Whittingham,2019,Utah,HC,2019 Utah
Gary Andersen,2019,Utah State,HC,2019 Utah State
Dana Dimel,2019,UTEP,HC,2019 UTEP
Jeff Traylor,2019,Arkansas,AHC,2019 Arkansas
Derek Mason,2019,Vanderbilt,HC,2019 Vanderbilt
Bronco Mendenhall,2019,Virginia,HC,2019 Virginia
Justin Fuente,2019,Virginia Tech,HC,2019 Virginia Tech
Dave Clawson,2019,Wake Forest,HC,2019 Wake Forest
Jimmy Lake,2019,Washington,DC,2019 Washington
Nick Rolovich,2019,Hawaii,HC,2019 Hawaii
Neal Brown,2019,West Virginia,HC,2019 West Virginia
Tyson Helton,2019,Western Kentucky,HC,2019 Western Kentucky
Tim Lester,2019,Western Michigan,HC,2019 Western Michigan
Paul Chryst,2019,Wisconsin,HC,2019 Wisconsin
Craig Bohl,2019,Wyoming,HC,2019 Wyoming
Barry Odom,2019,Missouri,HC,2019 Missouri
Bo Pelini,2019,Youngstown State,HC,2019 Youngstown State
Bob Davie,2019,New Mexico,HC,2019 New Mexico
Bobby Wilder,2019,Old Dominion,HC,2019 Old Dominion
Chad Morris,2019,Arkansas,HC,2019 Arkansas
Charlie Strong,2019,South Florida,HC,2019 South Florida
Chris Ash,2019,Rutgers,HC,2019 Rutgers
Chris Petersen,2019,Washington,HC,2019 Washington
Frank Wilson,2019,UTSA,HC,2019 UTSA
Jeff Tedford,2019,Fresno State,HC,2019 Fresno State
Joe Moorhead,2019,Mississippi State,HC,2019 Mississippi State
Matt Luke,2019,Ole Miss,HC,2019 Ole Miss
Matt Rhule,2019,Baylor,HC,2019 Baylor
Mike Bobo,2019,Colorado State,HC,2019 Colorado State
Rocky Long,2019,San Diego State,HC,2019 San Diego State
Tony Sanchez,2019,UNLV,HC,2019 UNLV
Mark Dantonio,2019,Michigan State,HC,2019 Michigan State
Troy Calhoun,2018,Air Force,HC,2018 Air Force
Tom Arth,2018,Chattanooga,HC,2018 Chattanooga
Nick Saban,2018,Alabama,HC,2018 Alabama
Shawn Clark,2018,Appalachian State,co-OC,2018 Appalachian State
Kevin Sumlin,2018,Arizona,HC,2018 Arizona
Herm Edwards,2018,Arizona State,HC,2018 Arizona State
Sam Pittman,2018,Georgia,OL,2018 Georgia
Blake Anderson,2018,Arkansas State,HC,2018 Arkansas State
Jeff Monken,2018,Army,HC,2018 Army
Gus Malzahn,2018,Auburn,HC,2018 Auburn
Mike Neu,2018,Ball State,HC,2018 Ball State
Dave Aranda,2018,LSU,DC,2018 LSU
Bryan Harsin,2018,Boise State,HC,2018 Boise State
Jeff Hafley ,2018,49ers,DB,2018 49ers
Scot Loeffler,2018,Boston College,OC,2018 Boston College
Lance Leipold,2018,Buffalo,HC,2018 Buffalo
Kalani Sitake,2018,BYU,HC,2018 BYU
Justin Wilcox,2018,California,HC,2018 California
Josh Heupel,2018,Central Florida,HC,2018 Central Florida
Jim McElwain,2018,Michigan,WR,2018 Michigan
Will Healy,2018,Austin Peay,HC,2018 Austin Peay
Luke Fickell,2018,Cincinnati,HC,2018 Cincinnati
Dabo Swinney,2018,Clemson,HC,2018 Clemson
Joe Moglia,2018,Coastal Carolina,HC,2018 Coastal Carolina
Steve Addazio,2018,Boston College,HC,2018 Boston College
Randy Edsall,2018,Connecticut,HC,2018 Connecticut
David Cutcliffe,2018,Duke,HC,2018 Duke
Mike Houston,2018,James Madison,HC,2018 James Madison
Chris Creighton,2018,Eastern Michigan,HC,2018 Eastern Michigan
Dan Mullen,2018,Florida,HC,2018 Florida
Willie Taggart,2018,Florida State,HC,2018 Florida State
Butch Davis,2018,Florida International,HC,2018 Florida International
Mike Norvell,2018,Memphis,HC,2018 Memphis
Kalen DeBoer,2018,Fresno State,OC,2018 Fresno State
Kirby Smart,2018,Georgia,HC,2018 Georgia
Chad Lunsford,2018,Georgia Southern,HC,2018 Georgia Southern
Shawn Elliott,2018,Georgia State,HC,2018 Georgia State
Geoff Collins,2018,Temple,HC,2018 Temple
Dana Holgorsen,2018,West Virginia,HC,2018 West Virginia
Lovie Smith,2018,Illinois,HC,2018 Illinois
Tom Allen,2018,Indiana,HC,2018 Indiana
Kirk Ferentz,2018,Iowa,HC,2018 Iowa
Matt Campbell,2018,Iowa State,HC,2018 Iowa State
Chris Klieman,2018,North Dakota State,HC,2018 North Dakota State
Sean Lewis,2018,Kent State,HC,2018 Kent State
Mark Stoops,2018,Kentucky,HC,2018 Kentucky
Skip Holtz,2018,Louisiana Tech,HC,2018 Louisiana Tech
